tema;canal;titulo;score;likes;dislikes;link;user;comment
Animals;TopGear;Top Gear Bicycle Advert;4.86207;28;1;Vzi8YWHO9ZM;Liam Trimble;So true
Autos;jewelrymaking101;Easy Bracelet Making Instructions;4.45455;19;3;alKPTw9QGaM;Taanipu Saiyan;Wow thats great And I luv all ur videos 3
Autos;jewelrymaking101;Easy Bracelet Making Instructions;4.45455;19;3;alKPTw9QGaM;Aynur beiber;kot 
Autos;jewelrymaking101;Easy How to Make Bracelets Video Instructions;4.2;8;2;hYaliwJM2rk;Francesco Giunta;ciao your folds are at 90 not 45 bibi
Autos;jewelrymaking101;Easy How to Make Bracelets Video Instructions;4.2;8;2;hYaliwJM2rk;Sarah78679;background music is very distracting and louder than your instructions 
Autos;jewelrymaking101;jewelry making 101;3;1;1;UM4GCnpDAfw;temygu207;awaiting 102
Autos;TopGear;Top Gear 16x01 ITA HD Completo;0;0;0;lRztyteLVIU;Antonio reis;Sono tornato  Destru  scusa  esami x(  grande 
Autos;TopGear;Top Gear 16x01 ITA HD Completo;0;0;0;lRztyteLVIU;cosmin pricope;grandee
Autos;TopGear;Top Gear 16x01 ITA HD Completo;0;0;0;lRztyteLVIU;XlDrax;Grande
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;gegypt 20;Watch us live today  Big surprises during the day Wael Fakharany GEgypt 20 Day3 gegypt
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;GDG AlMinufiyah;Online Live Watching GEgypt 20 Day3GEgypt 20 Day3
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;GDG Cairo;Good Morning Everybody ready for GEgypt 20 Day 3We are here live and starting in few minutesgegypt
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;Ali El Kadim; gegypt
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;Mohamed Awadallah;amazing presentation google eypt day 3  2na 7adartohhh :)
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;Mohamed Khalil;where is the sound :
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;Walaa Saad;yosyos77 Sound is not clear now
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;heba deeb;           
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;Walaa Saad;yosyos77 good
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;beko120056;          
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;Walaa Saad;yes
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;omar samir;where is GEgypt 20 Day 2 
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;Mohamed Khalil;it was really a nice day ))
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;Raghd Hamzeh;Thanks for the sound effects :p
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;Youssef Aly;anyone here watching  
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;Mohamed Khalil;   :D
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;Walaa Saad;yosyos77 yes
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;Amr Hesham;yosyos77 Yes
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;Mahmoud Ahmed;this cam is 1b pixel
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;Youssef Aly;walaasaadh how do you see it 
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;beko120056;       plz day 2 from g egypt
Tech;googledeveloper;GEgypt 20 Day3;5;10;0;WUg0CME2RPU;3rbfox;Tesasa
