tema;canal;titulo;score;likes;dislikes;link;user;comment
Animals;TopGear;Top Gear Bicycle Advert;4.86207;28;1;Vzi8YWHO9ZM;Liam Trimble;So true
Autos;jewelrymaking101;Easy Bracelet Making Instructions;4.45455;19;3;alKPTw9QGaM;Taanipu Saiyan;Wow thats great And I luv all ur videos 3
Autos;jewelrymaking101;Easy Bracelet Making Instructions;4.45455;19;3;alKPTw9QGaM;Aynur beiber;kot 
Autos;jewelrymaking101;Easy How to Make Bracelets Video Instructions;4.2;8;2;hYaliwJM2rk;Francesco Giunta;ciao your folds are at 90 not 45 bibi
Autos;jewelrymaking101;Easy How to Make Bracelets Video Instructions;4.2;8;2;hYaliwJM2rk;Sarah78679;background music is very distracting and louder than your instructions 
Autos;jewelrymaking101;jewelry making 101;3;1;1;UM4GCnpDAfw;temygu207;awaiting 102
Autos;TopGear;Top Gear 16x01 ITA HD Completo;0;0;0;lRztyteLVIU;Antonio reis;Sono tornato  Destru  scusa  esami x(  grande 
Autos;TopGear;Top Gear 16x01 ITA HD Completo;0;0;0;lRztyteLVIU;cosmin pricope;grandee
Autos;TopGear;Top Gear 16x01 ITA HD Completo;0;0;0;lRztyteLVIU;XlDrax;Grande
Autos;TopGear;Top Gear 16x01 ITA HD Completo;0;0;0;lRztyteLVIU;TheDestruction82;Top Gear 16x01 ITA HD Completo
Autos;TopGear;Top Gear 16x01 ITA HD Completo;0;0;0;lRztyteLVIU;Gionata Abbiati;Sei veramente un grande meriti un sacco di iscritti solo per limpegno con cui ti metti a caricare video 
Autos;TopGear;Lotus Formula 1 Top Gear Track Driver POV;0;0;0;6qBU00MiXaU;TopGearSpeed;Lotus F1 on track driver POV
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;oBseSsIoNPC;cool car although I think a Wild Ferrari had sex with an Aventador giving birth to what is the 6th Element Weird I still rather go for a TomCat and a Marauder for that kind of money
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;shibtanu biswas;Runs to the Lottery shop
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Ivo Teixeira;Thats my car right there Oo
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Shadowwolf TD5000;Imagine that thing with a Veyron engine
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Buffoon1980;If I owned that car my life expectancy could be measured in minutesActually who am I kidding Id just use it to drive down to the shops at 60 kph
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Charles Ma;although this car is fast but it looks very ugly
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Superion Solace;Okay Lamborghini has given me a reason to start spending my money on powerball tickets
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;artman40;No vase no buy
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;David Larsson;When can they try the koenigsegg agera r or koenigsegg agera one:1
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Kylle Dumlao;2000000 for a Lamborghini Sesto Elemento Seems reasonable 
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Damon spaceraser;unreal me want
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Jacob G;the back of most lamborghinis are pretty ugly to put it nicely :)
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Opticalism;1950000 Pounds is about 2500000
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;TheSuperMariotf;I think its probably worth the money
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;ola adeus;Automatic
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Gerald chow;THIS IS THE CAR OF MY DREAMSSSSSSSSS
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Steve Hughes;Just ringing Churchillback in a bit
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;peakcur;OMG  Damn thats THE car to have
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;TheImpulsivePear;gta v high life dlc anyone
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;EpicTheBloxxer;OH MY GOD MY DREAM CAR
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;biged961;3
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Daniel Martin;Omg its funny that he said its a bedroom poster car because I have a poster of this car in my room
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Ethan Drake;Personally I feel that the interior is the ugliest thing in the world but that might be just me
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;tarek moez;Astonishing 
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Randy Marsh;music at 4:57 
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;ScottCo98;Whats that intro bit song 
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;George Wicker;This car is just amazing
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Heavysword98;Made to Preform 
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Demerikko Reynolds;As soon as I finished the video I look at the picture on my wall of this car
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;flashmhp;The feeling when the engine goes WOOOOOHM WOOOOOOHM please someone notify me when the car is 100 euros in the distant future so I can buy it :D
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;arriluk97;Ugly and usless i go for the porsche 918 or the ferrari LaFerrari
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;H00Dby4ir;Want to see Elemento vs Bugatti
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;SIOUXMAN74;Nice
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Alex Smith;The best looking Lamborghini I have seen If I had the money I would get it
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;pranjal sharma;it has the engine of the gallardo but a ass kicker
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Rayan Kessi;I would pick the maclaren p1 over the sesto elemento
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;oOLiukOo;only 195 millions i was expecting 6:D
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Silent Walker;1:27  1:30 Halo Reach
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Alan Wu;this beast has batman written all over it
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;MrDubstepDancer;The smexiest car I have ever seen :P
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Nelson Burotto;Im in love whith this car
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Blasphemy Moto;when in the hell are they going to review the agera 
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;HIFONICSM3;Theres something missing :( oh yeah JAMES AND THAT OTHER GUY WHAT EVER HAPPENED TO THEM ANY ONE  
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Bujang Ganteng;Man the cars sound gave me eargasm
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;burbabull;god damnit top gear is amazing
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;alexa alexandar;WOW
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;jayzbond007;Engine sounds awesome good job Lambo gotta change the name lol
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;wartencrusteddong;My 99 geo metro would give it a good run for its money
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Jerome Spiteri;I love how the vid had to be 6:00 long exactly :p
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;alberto dayap;Thats Like a Car of A Demon
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;alberto dayap;Thats Like a Car of A Demon
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;11rt23ez;but is it road legal
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Moegi S;Wow that is a beast and beautiful car with a pretty cool name
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Connor Haus;Oh my god when he screamed at 1:35 it sounded like Ricky bobbys mom from Talladega nights haha haha badass
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;bilbil vangjeli;just amazing
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;saifulinmalaysia;I want this jobbb
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Sourav Mondal;The Sixth Element
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Jack Dishman;My grandma would love this car
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;djvartan;Ill take any Pagani over thing ugly looking toy car any day
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Mrcio Machado;lucky son of a bitch
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Cana Macana;The way they introduce cars amazes me so much 
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Lorand Achim;evil
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;miles knight;How many us  is that
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Douglas Crabb;Unreal I have driven 4 different Bulls and this is next on my list
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Mick Jger;Looks like it already caught fire in the beginning of the video HA
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;jakuleroooo;Does it have scissor doors
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;Medapati Satyaduth;Italian art piece
Autos;TopGear;Lamborghini Sesto Elemento at Imola  Top Gear  Series 20  BBC;4.96868;7982;63;zRT1hw_-0a8;BLACK JACK;Batmobile )I is the 6 th element
